Date,Fixing Close,Close
17/02/2020,-0.711586,10931.18135
14/02/2020,-0.711131,10931.82918
13/02/2020,-0.710877,10932.04505
12/02/2020,-0.710191,10932.26071
11/02/2020,-0.711541,10932.47679
10/02/2020,-0.710975,10932.69271
07/02/2020,-0.710898,10933.34041
06/02/2020,-0.710393,10933.55617
05/02/2020,-0.709951,10933.77179
04/02/2020,-0.710173,10933.98749
03/02/2020,-0.709472,10934.20297
31/01/2020,-0.701907,10934.84258
30/01/2020,-0.711284,10935.05863
29/01/2020,-0.710357,10935.27441
28/01/2020,-0.711374,10935.4905
27/01/2020,-0.711109,10935.70651
24/01/2020,-0.710899,10936.35548
23/01/2020,-0.710899,10936.57144
22/01/2020,-0.710819,10936.78739
21/01/2020,-0.710619,10937.00328
20/01/2020,-0.71067,10937.21919
17/01/2020,-0.710511,10937.86681
16/01/2020,-0.710424,10938.08267
15/01/2020,-0.709975,10938.29839
14/01/2020,-0.709312,10938.51391
13/01/2020,-0.708344,10938.72914
10/01/2020,-0.709668,10939.37609
09/01/2020,-0.706479,10939.59077
08/01/2020,-0.704307,10939.8048
07/01/2020,-0.703904,10940.01871
06/01/2020,-0.700989,10940.23173
03/01/2020,-0.691517,10940.86222
31/12/2019,-0.659249,10941.46331
30/12/2019,-0.684825,10941.67145
27/12/2019,-0.698503,10942.30839
24/12/2019,-0.684586,10942.93267
23/12/2019,-0.701235,10943.14583
20/12/2019,-0.70587,10943.78957
19/12/2019,-0.704521,10944.00375
18/12/2019,-0.705583,10944.21825
17/12/2019,-0.705345,10944.43268
16/12/2019,-0.704199,10944.64677
13/12/2019,-0.703784,10945.2887
12/12/2019,-0.7058,10945.50329
11/12/2019,-0.705172,10945.7177
10/12/2019,-0.705512,10945.93221
09/12/2019,-0.706353,10946.14698
06/12/2019,-0.704737,10946.78987
05/12/2019,-0.703716,10947.00386
04/12/2019,-0.703749,10947.21786
03/12/2019,-0.703643,10947.43183
02/12/2019,-0.705517,10947.64638
29/11/2019,-0.706504,10948.29097
28/11/2019,-0.709256,10948.50667
27/11/2019,-0.710607,10948.72279
26/11/2019,-0.709801,10948.93866
25/11/2019,-0.705693,10949.1533
22/11/2019,-0.703757,10949.79546
21/11/2019,-0.700298,10950.00847
20/11/2019,-0.699736,10950.22131
19/11/2019,-0.69865,10950.43382
18/11/2019,-0.693477,10950.64477
15/11/2019,-0.693456,10951.27762
14/11/2019,-0.686273,10951.48639
13/11/2019,-0.681105,10951.69359
12/11/2019,-0.675285,10951.89903
11/11/2019,-0.67436,10952.10418
08/11/2019,-0.66878,10952.7146
07/11/2019,-0.66349,10952.91646
06/11/2019,-0.659506,10953.11712
05/11/2019,-0.656182,10953.31677
04/11/2019,-0.62762,10953.50773
01/11/2019,-0.639171,10954.09119
31/10/2019,-0.732974,10954.31423
30/10/2019,-0.737164,10954.53854
29/10/2019,-0.734425,10954.76202
28/10/2019,-0.736533,10954.98616
25/10/2019,-0.735077,10955.65726
24/10/2019,-0.73927,10955.88224
23/10/2019,-0.739178,10956.1072
22/10/2019,-0.738701,10956.33202
21/10/2019,-0.737488,10956.55647
18/10/2019,-0.737191,10957.2296
17/10/2019,-0.736523,10957.45378
16/10/2019,-0.739809,10957.67896
15/10/2019,-0.736896,10957.90327
14/10/2019,-0.736823,10958.12755
11/10/2019,-0.737592,10958.80114
10/10/2019,-0.741872,10959.02698
09/10/2019,-0.739089,10959.25198
08/10/2019,-0.740681,10959.47746
07/10/2019,-0.736762,10959.70176
04/10/2019,-0.737043,10960.37495
03/10/2019,-0.735619,10960.59892
02/10/2019,-0.732149,10960.82183
01/10/2019,-0.736161,10961.04597
30/09/2019,-0.746272,10961.2732
27/09/2019,-0.736696,10961.94617
26/09/2019,-0.737985,10962.17089
25/09/2019,-0.736994,10962.39531
24/09/2019,-0.736325,10962.61953
23/09/2019,-0.737274,10962.84405
20/09/2019,-0.741618,10963.52161
19/09/2019,-0.737288,10963.74615
18/09/2019,-0.734803,10963.96994
17/09/2019,-0.731764,10964.19281
16/09/2019,-0.732444,10964.41588
13/09/2019,-0.738549,10965.09074
12/09/2019,-0.733291,10965.31409
11/09/2019,-0.730952,10965.53674
10/09/2019,-0.732953,10965.76
09/09/2019,-0.730256,10965.98245
06/09/2019,-0.730802,10966.65032
05/09/2019,-0.731783,10966.87324
04/09/2019,-0.731119,10967.09597
03/09/2019,-0.733989,10967.31958
02/09/2019,-0.731834,10967.54254
30/08/2019,-0.747262,10968.22555
29/08/2019,-0.733332,10968.44898
28/08/2019,-0.734893,10968.67289
27/08/2019,-0.735212,10968.8969
26/08/2019,-0.736682,10969.12137
23/08/2019,-0.739591,10969.79747
22/08/2019,-0.739641,10970.02285
21/08/2019,-0.741722,10970.24888
20/08/2019,-0.750786,10970.47767
19/08/2019,-0.743756,10970.70432
16/08/2019,-0.745262,10971.3857
15/08/2019,-0.73879,10971.61086
14/08/2019,-0.738333,10971.83588
13/08/2019,-0.739544,10972.06128
12/08/2019,-0.749718,10972.28979
09/08/2019,-0.74827,10972.97401
08/08/2019,-0.743454,10973.20063
07/08/2019,-0.739801,10973.42613
06/08/2019,-0.742523,10973.65247
05/08/2019,-0.741705,10973.87856
02/08/2019,-0.749782,10974.56428
31/07/2019,-0.745119,10975.01859
30/07/2019,-0.743485,10975.24526
29/07/2019,-0.739061,10975.47058
26/07/2019,-0.736956,10976.14466
25/07/2019,-0.736864,10976.36932
24/07/2019,-0.737851,10976.5943
23/07/2019,-0.737296,10976.81911
22/07/2019,-0.73747,10977.04398
19/07/2019,-0.738781,10977.71982
18/07/2019,-0.736741,10977.94449
17/07/2019,-0.740761,10978.17038
16/07/2019,-0.73722,10978.3952
15/07/2019,-0.738612,10978.62045
12/07/2019,-0.738647,10979.29627
11/07/2019,-0.735743,10979.52066
10/07/2019,-0.735531,10979.74499
09/07/2019,-0.738223,10979.97015
08/07/2019,-0.741417,10980.19628
05/07/2019,-0.734868,10980.86874
04/07/2019,-0.735941,10981.09322
03/07/2019,-0.736154,10981.31778
02/07/2019,-0.734429,10981.54181
01/07/2019,-0.73543,10981.76615
28/06/2019,-0.740234,10982.44362
27/06/2019,-0.741744,10982.6699
26/06/2019,-0.737655,10982.89495
25/06/2019,-0.735569,10983.11936
24/06/2019,-0.739524,10983.34498
21/06/2019,-0.737211,10984.01978
20/06/2019,-0.73633,10984.24445
19/06/2019,-0.735509,10984.46887
18/06/2019,-0.735206,10984.6932
17/06/2019,-0.738725,10984.91861
14/06/2019,-0.735308,10985.59176
13/06/2019,-0.737152,10985.81671
12/06/2019,-0.737372,10986.04173
11/06/2019,-0.735264,10986.26612
07/06/2019,-0.725206,10987.15145
06/06/2019,-0.736802,10987.37632
05/06/2019,-0.735753,10987.60088
04/06/2019,-0.734128,10987.82495
03/06/2019,-0.734138,10988.04903
31/05/2019,-0.736873,10988.7238
29/05/2019,-0.740087,10989.17563
28/05/2019,-0.736557,10989.40047
27/05/2019,-0.731043,10989.62364
24/05/2019,-0.732812,10990.29479
23/05/2019,-0.735389,10990.5193
22/05/2019,-0.736194,10990.74406
21/05/2019,-0.733071,10990.96787
20/05/2019,-0.738135,10991.19323
17/05/2019,-0.740888,10991.87187
16/05/2019,-0.742531,10992.09859
15/05/2019,-0.744801,10992.32601
14/05/2019,-0.740209,10992.55203
13/05/2019,-0.738074,10992.77741
10/05/2019,-0.74003,10993.45537
09/05/2019,-0.735701,10993.68003
08/05/2019,-0.735332,10993.90459
07/05/2019,-0.735542,10994.12922
06/05/2019,-0.734302,10994.35348
03/05/2019,-0.730783,10995.02306
02/05/2019,-0.73464,10995.24744
30/04/2019,-0.731729,10995.69443
29/04/2019,-0.734356,10995.91873
26/04/2019,-0.734137,10996.59148
25/04/2019,-0.73131,10996.81487
24/04/2019,-0.735731,10997.03962
23/04/2019,-0.733425,10997.26366
18/04/2019,-0.735999,10998.38794
17/04/2019,-0.735363,10998.61261
16/04/2019,-0.734691,10998.83707
15/04/2019,-0.733035,10999.06104
12/04/2019,-0.735572,10999.7353
11/04/2019,-0.736909,10999.96046
10/04/2019,-0.736467,11000.1855
09/04/2019,-0.737907,11000.41098
08/04/2019,-0.735727,11000.63579
05/04/2019,-0.736001,11001.31054
04/04/2019,-0.74015,11001.53673
03/04/2019,-0.738421,11001.7624
02/04/2019,-0.737382,11001.98775
01/04/2019,-0.734832,11002.21233
29/03/2019,-0.737656,11002.88869
28/03/2019,-0.733012,11003.11273
27/03/2019,-0.734988,11003.33737
26/03/2019,-0.733824,11003.56167
25/03/2019,-0.732552,11003.78558
22/03/2019,-0.73386,11004.45856
21/03/2019,-0.733626,11004.68282
20/03/2019,-0.731404,11004.9064
19/03/2019,-0.733715,11005.1307
18/03/2019,-0.734146,11005.35513
15/03/2019,-0.733003,11006.02742
14/03/2019,-0.730737,11006.25083
13/03/2019,-0.729698,11006.47392
12/03/2019,-0.732268,11006.69781
11/03/2019,-0.733639,11006.92212
08/03/2019,-0.734443,11007.59582
07/03/2019,-0.733498,11007.8201
06/03/2019,-0.733227,11008.04431
05/03/2019,-0.735959,11008.26935
04/03/2019,-0.733255,11008.49358
01/03/2019,-0.735482,11009.16833
28/02/2019,-0.738785,11009.39426
27/02/2019,-0.736827,11009.6196
26/02/2019,-0.735902,11009.84466
25/02/2019,-0.735995,11010.06976
22/02/2019,-0.734633,11010.74383
21/02/2019,-0.733443,11010.96816
20/02/2019,-0.733436,11011.19249
19/02/2019,-0.734521,11011.41716
