Selections
Start Date: 2022-04-28
End Date: 2026-05-28
Selected benchmarks: Compounded ZARONIA
Report Data: Rates
Date,1-week average,1-month average,3-month average,6-month average,9-month average,12-month average,Index
2026-02-25,6.60278,6.62044,6.65560,6.83734,7.01816,7.20994,128.405242649076
2026-02-24,6.60264,6.61982,6.65564,6.84173,7.01839,7.21217,128.382021331136
2026-02-23,6.60278,6.61923,6.65730,6.84180,7.01863,7.21820,128.358807728675
2026-02-20,6.60493,6.61974,6.65903,6.84478,7.02731,7.22124,128.289246838697
2026-02-19,6.60507,6.61971,6.66179,6.84620,7.03017,7.22346,128.266046497903
2026-02-18,6.60521,6.62136,6.66450,6.84761,7.03813,7.22567,128.242850352752
2026-02-17,6.60550,6.62080,6.66723,6.85163,7.03843,7.22786,128.219661914716
2026-02-16,6.60579,6.62021,6.67652,6.85174,7.03874,7.23366,128.196474157938
2026-02-13,6.60836,6.61974,6.67845,6.85468,7.04732,7.23673,128.126948614260
2026-02-12,6.60764,6.61954,6.68115,6.85608,7.05017,7.23894,128.103774115069
2026-02-11,6.60636,6.61971,6.68380,6.85748,7.05798,7.24115,128.080603807481
2026-02-10,6.60536,6.61904,6.68646,6.86137,7.05835,7.24338,128.057437690740
2026-02-09,6.60478,6.61832,6.69490,6.86152,7.05872,7.24924,128.034272256932
2026-02-06,6.60521,6.61669,6.69704,6.86443,7.06726,7.25234,127.964771609469
2026-02-05,6.60550,6.61662,6.69983,6.86587,7.07014,7.25457,127.941643966541
2026-02-04,6.60679,6.61871,6.70267,6.86732,7.07806,7.25680,127.918534519510
2026-02-03,6.60750,6.61822,6.70551,6.87162,7.07853,7.25904,127.895422239918
2026-02-02,6.60764,6.61761,6.70545,6.87185,7.07898,7.25954,127.872300125375
2026-01-30,6.60336,6.61733,6.71638,6.87767,7.08520,7.26905,127.802876902352
2026-01-29,6.60364,6.61733,6.71923,6.88052,7.08815,7.27204,127.779771519009
2026-01-28,6.60350,6.61851,6.72205,6.88337,7.09848,7.27502,127.756659814221
2026-01-27,6.60321,6.61782,6.72484,6.89121,7.09899,7.27800,127.733559287513
2026-01-26,6.60321,6.61714,6.73323,6.89154,7.09951,7.28599,127.710462937763
2026-01-23,6.60707,6.61593,6.73658,6.89760,7.10595,7.29011,127.641232431505
2026-01-22,6.60679,6.61554,6.73935,6.90042,7.10885,7.29309,127.618149280229
2026-01-21,6.60550,6.61799,6.74215,6.90324,7.12094,7.29606,127.595070303403
