
"Banco de México"

"Securities prices and interest rates"
"Índices de TIIE de Fondeo y TIIEs de Fondeo compuestas por adelantado"

"Date: 04/26/2026 02:30:41"

""

"Title","Overnight Funding TIIE Index, Compounded on calendar days","Overnight Funding TIIE Index, Compounded on business days","Compounded in advance Overnight Funding TIIE, for 28 days","Compounded in advance Overnight Funding TIIE, for 91 days","Compounded in advance Overnight Funding TIIE, for 182 days"
"Available period","01/02/2006 - 04/27/2026","01/02/2006 - 04/27/2026","01/02/2006 - 04/27/2026","01/02/2006 - 04/27/2026","01/02/2006 - 04/27/2026"
"Frequency","Daily","Daily","Daily","Daily","Daily"
"Data type","ciphers without type","ciphers without type","Average Rate","Average Rate","Average Rate"
"Unit","Without units","Without units","Percentages","Percentages","Percentages"
"Base","","","","",""
"Announcement","","","","",""
"Information type","Levels","Levels","Levels","Levels","Levels"
"Date","SF355630","SF355631","SF355632","SF355633","SF355634"
01/02/2006,100000.0000,100000.0000,0.0000,0.0000,0.0000
01/03/2006,100022.9722,100022.9722,N/E,N/E,N/E
01/04/2006,100045.9775,100045.9775,N/E,N/E,N/E
01/05/2006,100068.9881,100068.9881,N/E,N/E,N/E
01/06/2006,100092.0039,100092.0039,N/E,N/E,N/E
01/07/2006,100115.0251,100115.0251,N/E,N/E,N/E
01/08/2006,100138.0516,100138.0462,N/E,N/E,N/E
01/09/2006,100161.0833,100161.0674,N/E,N/E,N/E
01/10/2006,100184.1204,100184.1045,N/E,N/E,N/E
01/11/2006,100207.1627,100207.1468,N/E,N/E,N/E
01/12/2006,100230.2104,100230.1945,N/E,N/E,N/E
01/13/2006,100253.2633,100253.2474,N/E,N/E,N/E
01/14/2006,100276.3216,100276.3056,N/E,N/E,N/E
01/15/2006,100299.3851,100299.3639,N/E,N/E,N/E
01/16/2006,100322.4540,100322.4221,N/E,N/E,N/E
01/17/2006,100345.5281,100345.4963,N/E,N/E,N/E
01/18/2006,100368.5797,100368.5479,N/E,N/E,N/E
01/19/2006,100391.6366,100391.6048,N/E,N/E,N/E
01/20/2006,100414.6988,100414.6670,N/E,N/E,N/E
01/21/2006,100437.7663,100437.7345,N/E,N/E,N/E
01/22/2006,100460.8391,100460.8020,N/E,N/E,N/E
01/23/2006,100483.9172,100483.8694,N/E,N/E,N/E
01/24/2006,100507.0006,100506.9528,N/E,N/E,N/E
01/25/2006,100530.0893,100530.0415,N/E,N/E,N/E
01/26/2006,100553.2112,100553.1634,N/E,N/E,N/E
01/27/2006,100576.3384,100576.2906,N/E,N/E,N/E
01/28/2006,100598.0741,100598.0263,N/E,N/E,N/E
01/29/2006,100619.8144,100619.7619,N/E,N/E,N/E
01/30/2006,100641.5595,100641.4976,N/E,N/E,N/E
01/31/2006,100663.3093,100663.2473,8.2302,8.2896,8.3765
02/01/2006,100685.1196,100685.0577,8.2130,8.2721,8.3586
02/02/2006,100706.8788,100706.8168,8.1950,8.2539,8.3400
02/03/2006,100728.6427,100728.5807,8.1770,8.2357,8.3214
02/04/2006,100750.4113,100750.3493,N/E,N/E,N/E
02/05/2006,100772.1846,100772.1178,N/E,N/E,N/E
02/06/2006,100793.9625,100793.8864,N/E,N/E,N/E
02/07/2006,100815.7452,100815.6550,8.1050,8.1626,8.2469
02/08/2006,100837.5326,100837.4423,8.0870,8.1444,8.2283
02/09/2006,100859.2967,100859.2064,8.0687,8.1258,8.2093
02/10/2006,100881.0655,100880.9752,8.0504,8.1073,8.1903
02/11/2006,100902.8390,100902.7487,N/E,N/E,N/E
02/12/2006,100924.6172,100924.5222,N/E,N/E,N/E
02/13/2006,100946.4001,100946.2956,7.9955,8.0515,8.1335
02/14/2006,100968.1877,100968.0832,7.9771,8.0330,8.1145
02/15/2006,100990.0081,100989.9035,7.9595,8.0151,8.0963
02/16/2006,101011.8331,101011.7286,7.9419,7.9973,8.0781
02/17/2006,101033.6629,101033.5583,7.9243,7.9794,8.0599
02/18/2006,101055.4974,101055.3928,N/E,N/E,N/E
02/19/2006,101077.3366,101077.2272,N/E,N/E,N/E
02/20/2006,101099.1806,101099.0618,7.8715,7.9259,8.0053
02/21/2006,101121.0292,101120.9104,7.8539,7.9080,7.9871
02/22/2006,101142.8826,101142.7637,7.8363,7.8902,7.9689
02/23/2006,101164.7688,101164.6499,7.8187,7.8723,7.9507
02/24/2006,101186.7440,101186.6251,7.8022,7.8556,7.9336
02/25/2006,101207.9651,101207.8462,N/E,N/E,N/E
02/26/2006,101229.1907,101229.0673,N/E,N/E,N/E
02/27/2006,101250.4207,101250.2884,7.7774,7.8305,7.9080
02/28/2006,101271.5989,101271.4666,7.7684,7.8214,7.8987
03/01/2006,101292.8660,101292.7336,7.7598,7.8126,7.8898
03/02/2006,101314.0812,101313.9488,7.7512,7.8039,7.8809
03/03/2006,101335.3009,101335.1684,7.7426,7.7952,7.8720
03/04/2006,101356.5250,101356.3925,N/E,N/E,N/E
03/05/2006,101377.7535,101377.6166,N/E,N/E,N/E
03/06/2006,101398.9865,101398.8407,7.7167,7.7690,7.8452
03/07/2006,101420.1677,101420.0218,7.7076,7.7597,7.8358
03/08/2006,101441.3532,101441.2073,7.6982,7.7502,7.8261
03/09/2006,101462.5995,101462.4536,7.6900,7.7418,7.8176
03/10/2006,101483.8503,101483.7043,7.6817,7.7335,7.8090
03/11/2006,101505.0774,101504.9313,N/E,N/E,N/E
03/12/2006,101526.3088,101526.1583,N/E,N/E,N/E
03/13/2006,101547.5448,101547.3854,7.6559,7.7073,7.7823
03/14/2006,101568.7851,101568.6257,7.6472,7.6985,7.7734
03/15/2006,101590.0017,101589.8422,7.6379,7.6891,7.7638
03/16/2006,101611.2227,101611.0632,7.6286,7.6796,7.7541
03/17/2006,101632.4482,101632.2886,7.6192,7.6701,7.7445
03/18/2006,101653.6781,101653.5185,N/E,N/E,N/E
03/19/2006,101674.9124,101674.7483,N/E,N/E,N/E
03/20/2006,101696.1512,101695.9782,7.5912,7.6418,7.7156
03/21/2006,101717.3944,101717.2214,N/E,N/E,N/E
03/22/2006,101738.6420,101738.4645,7.5725,7.6228,7.6962
03/23/2006,101759.8941,101759.7166,7.5628,7.6129,7.6862
03/24/2006,101781.1788,101781.0013,7.5524,7.6024,7.6754
03/25/2006,101801.7330,101801.5554,N/E,N/E,N/E
03/26/2006,101822.2913,101822.1095,N/E,N/E,N/E
03/27/2006,101842.8537,101842.6636,7.5222,7.5718,7.6443
03/28/2006,101863.3920,101863.2019,7.5125,7.5620,7.6343
03/29/2006,101883.9345,101883.7443,7.5017,7.5511,7.6232
03/30/2006,101904.4811,101904.2909,7.4917,7.5409,7.6128
03/31/2006,101925.0318,101924.8416,7.4816,7.5307,7.6024
04/01/2006,101945.6433,101945.4531,N/E,N/E,N/E
04/02/2006,101966.2590,101966.0645,N/E,N/E,N/E
04/03/2006,101986.8788,101986.6760,7.4536,7.5023,7.5735
04/04/2006,102007.4462,102007.2433,7.4443,7.4929,7.5638
04/05/2006,102028.0177,102027.8147,7.4349,7.4834,7.5542
04/06/2006,102048.5933,102048.3904,7.4249,7.4732,7.5438
04/07/2006,102069.1731,102068.9701,7.4148,7.4631,7.5334
04/08/2006,102089.7571,102089.5540,N/E,N/E,N/E
04/09/2006,102110.3452,102110.1379,N/E,N/E,N/E
04/10/2006,102130.9374,102130.7218,7.3858,7.4336,7.5034
04/11/2006,102151.5339,102151.3182,7.3761,7.4238,7.4934
04/12/2006,102172.1344,102171.9187,7.3667,7.4143,7.4838
04/13/2006,102192.7675,102192.5518,N/E,N/E,N/E
04/14/2006,102213.4048,102213.1848,N/E,N/E,N/E
04/15/2006,102234.0462,102233.8179,N/E,N/E,N/E
04/16/2006,102254.6918,102254.4509,N/E,N/E,N/E
04/17/2006,102275.3416,102275.0840,7.3215,7.3685,7.4371
04/18/2006,102295.9671,102295.7095,7.3121,7.3590,7.4275
04/19/2006,102316.5968,102316.3391,7.3029,7.3496,7.4179
04/20/2006,102337.2306,102336.9729,7.2935,7.3402,7.4083
04/21/2006,102357.8402,102357.5824,7.2835,7.3300,7.3979
04/22/2006,102377.8000,102377.5421,N/E,N/E,N/E
04/23/2006,102397.7637,102397.5019,N/E,N/E,N/E
04/24/2006,102417.7312,102417.4616,7.2565,7.3027,7.3701
04/25/2006,102437.7027,102437.4330,7.2479,7.2940,7.3612
04/26/2006,102457.6780,102457.4083,7.2393,7.2853,7.3524
04/27/2006,102477.6857,102477.4160,7.2311,7.2769,7.3438
04/28/2006,102497.6974,102497.4275,7.2228,7.2685,7.3353
04/29/2006,102517.7698,102517.4999,N/E,N/E,N/E
04/30/2006,102537.8462,102537.5723,N/E,N/E,N/E
05/01/2006,102557.9265,102557.6447,N/E,N/E,N/E
05/02/2006,102578.0108,102577.7172,7.1903,7.2357,7.3019
05/03/2006,102598.0135,102597.7198,7.1817,7.2270,7.2930
05/04/2006,102617.9916,102617.6979,7.1727,7.2179,7.2837
05/05/2006,102638.0021,102637.7083,7.1641,7.2091,7.2748
05/06/2006,102658.0165,102657.7227,N/E,N/E,N/E
05/07/2006,102678.0349,102677.7370,N/E,N/E,N/E
05/08/2006,102698.0571,102697.7514,7.1383,7.1830,7.2482
05/09/2006,102718.0547,102717.7489,7.1293,7.1739,7.2389
05/10/2006,102738.0562,102737.7504,7.1203,7.1648,7.2297
05/11/2006,102758.0901,102757.7842,7.1114,7.1557,7.2204
05/12/2006,102778.1279,102777.8220,7.1024,7.1467,7.2112
05/13/2006,102798.1982,102797.8922,N/E,N/E,N/E
05/14/2006,102818.2724,102817.9624,N/E,N/E,N/E
05/15/2006,102838.3505,102838.0327,7.0769,7.1208,7.1849
05/16/2006,102858.4040,102858.0861,7.0683,7.1121,7.1760
05/17/2006,102878.4900,102878.1720,7.0600,7.1037,7.1675
05/18/2006,102898.5798,102898.2618,7.0518,7.0954,7.1590
05/19/2006,102918.6736,102918.3555,7.0439,7.0874,7.1509
05/20/2006,102938.7714,102938.4532,N/E,N/E,N/E
05/21/2006,102958.8730,102958.5508,N/E,N/E,N/E
05/22/2006,102978.9786,102978.6485,7.0450,7.0885,7.1520
05/23/2006,102999.0595,102998.7294,7.0450,7.0885,7.1520
05/24/2006,103019.1729,103018.8427,7.0453,7.0888,7.1524
05/25/2006,103039.3189,103038.9886,7.0457,7.0892,7.1527
05/26/2006,103059.4688,103059.1385,7.0460,7.0896,7.1531
05/27/2006,103079.5940,103079.2637,N/E,N/E,N/E
05/28/2006,103099.7232,103099.3888,N/E,N/E,N/E
05/29/2006,103119.8563,103119.5140,7.0439,7.0874,7.1509
05/30/2006,103139.9933,103139.6509,7.0433,7.0868,7.1503
05/31/2006,103160.1056,103159.7632,7.0433,7.0868,7.1503
06/01/2006,103180.2505,103179.9080,7.0440,7.0875,7.1510
06/02/2006,103200.3993,103200.0567,7.0444,7.0879,7.1514
06/03/2006,103220.5520,103220.2094,N/E,N/E,N/E
06/04/2006,103240.7087,103240.3621,N/E,N/E,N/E
06/05/2006,103260.8693,103260.5147,7.0455,7.0890,7.1525
06/06/2006,103281.0339,103280.6792,7.0462,7.0897,7.1532
06/07/2006,103301.2024,103300.8476,7.0469,7.0904,7.1540
06/08/2006,103321.3748,103321.0200,7.0473,7.0908,7.1544
06/09/2006,103341.5512,103341.1963,7.0476,7.0912,7.1547
06/10/2006,103361.7315,103361.3765,N/E,N/E,N/E
06/11/2006,103381.9157,103381.5568,N/E,N/E,N/E
06/12/2006,103402.1039,103401.7370,7.0476,7.0912,7.1547
06/13/2006,103422.2960,103421.9291,7.0480,7.0915,7.1551
06/14/2006,103442.4921,103442.1251,7.0480,7.0915,7.1551
06/15/2006,103462.6634,103462.2963,7.0476,7.0912,7.1547
06/16/2006,103482.8386,103482.4715,7.0473,7.0908,7.1544
06/17/2006,103503.0178,103502.6506,N/E,N/E,N/E
06/18/2006,103523.2009,103522.8297,N/E,N/E,N/E
06/19/2006,103543.3879,103543.0087,7.0462,7.0897,7.1532
06/20/2006,103563.5789,103563.1996,7.0462,7.0897,7.1532
06/21/2006,103583.7738,103583.3944,7.0458,7.0894,7.1529
06/22/2006,103604.0014,103603.6219,7.0455,7.0890,7.1525
06/23/2006,103624.2041,103623.8246,7.0447,7.0883,7.1518
06/24/2006,103644.4109,103644.0312,N/E,N/E,N/E
06/25/2006,103664.6215,103664.2379,N/E,N/E,N/E
06/26/2006,103684.8361,103684.4446,7.0437,7.0872,7.1507
06/27/2006,103705.0547,103704.6631,7.0433,7.0868,7.1503
06/28/2006,103725.2483,103724.8567,7.0429,7.0864,7.1499
06/29/2006,103745.4748,103745.0830,7.0426,7.0861,7.1495
06/30/2006,103765.7051,103765.3133,7.0422,7.0857,7.1492
07/01/2006,103786.0259,103785.6340,N/E,N/E,N/E
07/02/2006,103806.3507,103805.9547,N/E,N/E,N/E
07/03/2006,103826.6794,103826.2754,7.0444,7.0879,7.1514
07/04/2006,103846.9256,103846.5215,7.0440,7.0875,7.1510
07/05/2006,103867.1758,103866.7716,7.0437,7.0872,7.1507
07/06/2006,103887.4299,103887.0256,7.0433,7.0868,7.1503
07/07/2006,103907.6879,103907.2836,7.0429,7.0864,7.1499
07/08/2006,103927.9499,103927.5455,N/E,N/E,N/E
07/09/2006,103948.2159,103947.8074,N/E,N/E,N/E
07/10/2006,103968.4858,103968.0694,7.0419,7.0854,7.1488
07/11/2006,103988.7596,103988.3431,7.0415,7.0850,7.1484
07/12/2006,104009.0663,104008.6497,7.0415,7.0850,7.1484
07/13/2006,104029.3770,104028.9603,7.0419,7.0854,7.1488
07/14/2006,104049.6916,104049.2749,7.0422,7.0857,7.1492
07/15/2006,104070.0102,104069.5934,N/E,N/E,N/E
07/16/2006,104090.3328,104089.9119,N/E,N/E,N/E
07/17/2006,104110.6593,104110.2304,7.0433,7.0868,7.1503
07/18/2006,104130.9609,104130.5319,7.0433,7.0868,7.1503
07/19/2006,104151.2664,104150.8374,7.0433,7.0868,7.1503
07/20/2006,104171.5759,104171.1468,7.0429,7.0864,7.1499
07/21/2006,104191.9183,104191.4891,7.0433,7.0868,7.1503
07/22/2006,104212.2357,104211.8064,N/E,N/E,N/E
07/23/2006,104232.5571,104232.1238,N/E,N/E,N/E
07/24/2006,104252.8825,104252.4411,7.0433,7.0868,7.1503
07/25/2006,104273.2118,104272.7703,7.0433,7.0868,7.1503
07/26/2006,104293.5451,104293.1035,7.0437,7.0872,7.1507
07/27/2006,104313.8823,104313.4407,7.0437,7.0872,7.1507
07/28/2006,104334.2235,104333.7818,7.0437,7.0872,7.1507
07/29/2006,104354.5687,104354.1269,N/E,N/E,N/E
07/30/2006,104374.9178,104374.4720,N/E,N/E,N/E
07/31/2006,104395.2709,104394.8171,7.0404,7.0839,7.1473
08/01/2006,104415.7150,104415.2610,7.0415,7.0850,7.1484
08/02/2006,104436.1051,104435.6510,7.0419,7.0854,7.1488
08/03/2006,104456.4991,104456.0450,7.0422,7.0857,7.1492
08/04/2006,104476.8971,104476.4429,7.0426,7.0861,7.1495
08/05/2006,104497.2992,104496.8448,N/E,N/E,N/E
08/06/2006,104517.7052,104517.2468,N/E,N/E,N/E
08/07/2006,104538.1152,104537.6487,7.0437,7.0872,7.1507
08/08/2006,104558.5291,104558.0626,7.0440,7.0875,7.1510
08/09/2006,104578.9471,104578.4805,7.0440,7.0875,7.1510
08/10/2006,104599.3690,104598.9023,7.0440,7.0875,7.1510
08/11/2006,104619.7950,104619.3281,7.0440,7.0875,7.1510
08/12/2006,104640.2249,104639.7579,N/E,N/E,N/E
08/13/2006,104660.6588,104660.1878,N/E,N/E,N/E
08/14/2006,104681.0967,104680.6176,7.0440,7.0875,7.1510
08/15/2006,104701.5386,104701.0594,7.0444,7.0879,7.1514
08/16/2006,104721.9845,104721.5052,7.0447,7.0883,7.1518
08/17/2006,104742.4053,104741.9259,7.0447,7.0883,7.1518
08/18/2006,104762.8591,104762.3797,7.0447,7.0883,7.1518
08/19/2006,104783.3170,104782.8375,N/E,N/E,N/E
08/20/2006,104803.7788,104803.2952,N/E,N/E,N/E
08/21/2006,104824.2447,104823.7530,7.0458,7.0894,7.1529
08/22/2006,104844.7145,104844.2227,7.0462,7.0897,7.1532
08/23/2006,104865.1884,104864.6965,7.0465,7.0901,7.1536
08/24/2006,104885.6662,104885.1742,7.0469,7.0904,7.1540
08/25/2006,104906.0898,104905.5977,7.0465,7.0901,7.1536
08/26/2006,104926.4882,104925.9960,N/E,N/E,N/E
08/27/2006,104946.8906,104946.3943,N/E,N/E,N/E
08/28/2006,104967.2969,104966.7926,7.0444,7.0879,7.1514
08/29/2006,104987.7364,104987.2320,7.0429,7.0865,7.1499
08/30/2006,105008.1798,105007.6753,7.0422,7.0857,7.1492
08/31/2006,105028.6272,105028.1227,7.0415,7.0850,7.1484
09/01/2006,105049.1953,105048.6907,7.0422,7.0857,7.1492
09/02/2006,105069.7383,105069.2336,N/E,N/E,N/E
09/03/2006,105090.2853,105089.7764,N/E,N/E,N/E
09/04/2006,105110.8363,105110.3192,7.0433,7.0868,7.1503
09/05/2006,105131.4205,105130.9033,7.0440,7.0875,7.1510
09/06/2006,105152.2715,105151.7543,7.0480,7.0915,7.1551
09/07/2006,105172.9515,105172.4342,7.0498,7.0934,7.1569
09/08/2006,105193.6355,105193.1181,7.0516,7.0952,7.1588
09/09/2006,105214.2943,105213.7769,N/E,N/E,N/E
09/10/2006,105234.9573,105234.4356,N/E,N/E,N/E
09/11/2006,105255.6242,105255.0943,7.0559,7.0995,7.1632
09/12/2006,105276.3245,105275.7945,7.0577,7.1014,7.1651
09/13/2006,105297.1458,105296.6157,7.0609,7.1046,7.1684
09/14/2006,105318.0883,105317.5581,7.0659,7.1097,7.1736
09/15/2006,105338.7131,105338.1827,7.0666,7.1104,7.1743
09/16/2006,105359.3419,105358.8114,N/E,N/E,N/E
09/17/2006,105379.9748,105379.4402,N/E,N/E,N/E
09/18/2006,105400.6117,105400.0689,7.0688,7.1126,7.1766
09/19/2006,105421.2526,105420.7098,7.0695,7.1133,7.1773
09/20/2006,105441.8683,105441.3254,7.0699,7.1137,7.1777
09/21/2006,105462.4588,105461.9157,7.0699,7.1137,7.1777
09/22/2006,105483.0533,105482.5101,7.0706,7.1144,7.1784
09/23/2006,105503.6518,105503.1085,N/E,N/E,N/E
09/24/2006,105524.2543,105523.7069,N/E,N/E,N/E
09/25/2006,105544.8608,105544.3053,7.0738,7.1177,7.1817
09/26/2006,105565.4127,105564.8571,7.0738,7.1177,7.1817
09/27/2006,105585.9687,105585.4129,7.0738,7.1177,7.1817
09/28/2006,105606.5286,105605.9727,7.0738,7.1177,7.1817
09/29/2006,105627.0926,105626.5366,7.0724,7.1163,7.1803
09/30/2006,105648.0713,105647.5152,N/E,N/E,N/E
10/01/2006,105669.0541,105668.4938,N/E,N/E,N/E
10/02/2006,105690.0412,105689.4724,7.0842,7.1282,7.1925
10/03/2006,105710.6214,105710.0525,7.0828,7.1268,7.1910
10/04/2006,105731.2056,105730.6366,7.0781,7.1221,7.1862
10/05/2006,105751.7938,105751.2247,7.0756,7.1195,7.1836
10/06/2006,105772.3860,105771.8168,7.0731,7.1170,7.1810
10/07/2006,105793.0117,105792.4423,N/E,N/E,N/E
10/08/2006,105813.6413,105813.0678,N/E,N/E,N/E
10/09/2006,105834.2750,105833.6933,7.0677,7.1115,7.1754
10/10/2006,105854.9126,105854.3309,7.0656,7.1093,7.1732
10/11/2006,105875.5543,105874.9725,7.0620,7.1057,7.1695
10/12/2006,105896.2001,105895.6181,7.0569,7.1006,7.1643
10/13/2006,105916.8498,105916.2677,7.0559,7.0995,7.1632
10/14/2006,105937.5036,105936.9214,N/E,N/E,N/E
10/15/2006,105958.1614,105957.5750,N/E,N/E,N/E
10/16/2006,105978.8233,105978.2287,7.0526,7.0963,7.1599
10/17/2006,105999.4891,105998.8945,7.0516,7.0952,7.1588
10/18/2006,106020.1590,106019.5643,7.0508,7.0944,7.1581
10/19/2006,106040.8330,106040.2381,7.0505,7.0941,7.1577
10/20/2006,106061.5109,106060.9159,7.0501,7.0937,7.1573
10/21/2006,106082.1929,106081.5978,N/E,N/E,N/E
10/22/2006,106102.8790,106102.2797,N/E,N/E,N/E
10/23/2006,106123.5690,106122.9616,7.0490,7.0926,7.1562
10/24/2006,106144.2631,106143.6556,7.0494,7.0930,7.1566
10/25/2006,106164.9613,106164.3536,7.0498,7.0934,7.1569
10/26/2006,106185.6634,106185.0556,7.0501,7.0937,7.1573
10/27/2006,106206.3696,106205.7617,7.0505,7.0941,7.1577
10/28/2006,106227.0504,106226.4423,N/E,N/E,N/E
10/29/2006,106247.7351,106247.1229,N/E,N/E,N/E
10/30/2006,106268.4239,106267.8036,7.0354,7.0788,7.1422
10/31/2006,106289.1463,106288.5258,7.0358,7.0792,7.1425
11/01/2006,106310.2565,106309.6359,7.0408,7.0843,7.1477
11/02/2006,106330.9870,106330.3663,N/E,N/E,N/E
11/03/2006,106351.7215,106351.0966,7.0415,7.0849,7.1484
11/04/2006,106372.4601,106371.8351,N/E,N/E,N/E
11/05/2006,106393.2027,106392.5735,N/E,N/E,N/E
11/06/2006,106413.9494,106413.3120,7.0415,7.0849,7.1484
11/07/2006,106434.7001,106434.0626,7.0415,7.0849,7.1484
11/08/2006,106455.4549,106454.8173,7.0415,7.0849,7.1484
11/09/2006,106476.2137,106475.5759,7.0415,7.0849,7.1484
11/10/2006,106496.9766,106496.3387,7.0415,7.0849,7.1484
11/11/2006,106517.7731,106517.1351,N/E,N/E,N/E
11/12/2006,106538.5736,106537.9314,N/E,N/E,N/E
11/13/2006,106559.3782,106558.7278,7.0425,7.0860,7.1495
11/14/2006,106580.2165,106579.5659,7.0433,7.0868,7.1502
11/15/2006,106601.0885,106600.4378,7.0443,7.0879,7.1513
11/16/2006,106621.9053,106621.2545,7.0447,7.0882,7.1517
11/17/2006,106642.7558,106642.1048,7.0454,7.0889,7.1525
11/18/2006,106663.6696,106663.0185,N/E,N/E,N/E
11/19/2006,106684.5876,106683.9322,N/E,N/E,N/E
11/20/2006,106705.5096,106704.8459,N/E,N/E,N/E
11/21/2006,106726.4357,106725.7597,7.0510,7.0946,7.1582
11/22/2006,106747.3363,106746.6601,7.0521,7.0957,7.1593
11/23/2006,106768.2410,106767.5647,7.0532,7.0968,7.1604
11/24/2006,106789.0905,106788.4140,7.0535,7.0972,7.1608
11/25/2006,106809.9440,106809.2674,N/E,N/E,N/E
11/26/2006,106830.8016,106830.1208,N/E,N/E,N/E
11/27/2006,106851.6633,106850.9742,7.0557,7.0993,7.1630
11/28/2006,106872.5291,106871.8398,7.0560,7.0997,7.1634
11/29/2006,106893.3989,106892.7095,7.0517,7.0953,7.1590
11/30/2006,106914.2728,106913.5833,7.0521,7.0957,7.1593
12/01/2006,106935.5072,106934.8175,N/E,N/E,N/E
12/02/2006,106956.7457,106956.0518,N/E,N/E,N/E
12/03/2006,106977.9885,106977.2860,N/E,N/E,N/E
12/04/2006,106999.2355,106998.5202,7.0706,7.1145,7.1785
12/05/2006,107020.1301,107019.4146,7.0710,7.1149,7.1788
12/06/2006,107041.0882,107040.3726,7.0721,7.1159,7.1799
12/07/2006,107062.0504,107061.3347,7.0732,7.1170,7.1811
12/08/2006,107082.9573,107082.2414,7.0735,7.1174,7.1814
12/09/2006,107103.8682,107103.1522,N/E,N/E,N/E
12/10/2006,107124.7832,107124.0630,N/E,N/E,N/E
12/11/2006,107145.7023,107144.9737,7.0735,7.1174,7.1814
12/12/2006,107166.6255,107165.8967,N/E,N/E,N/E
12/13/2006,107187.5527,107186.8198,7.0724,7.1163,7.1803
12/14/2006,107208.9009,107208.1678,7.0774,7.1213,7.1854
12/15/2006,107230.6405,107229.9073,7.0868,7.1308,7.1951
12/16/2006,107251.9377,107251.2044,N/E,N/E,N/E
12/17/2006,107273.2391,107272.5014,N/E,N/E,N/E
12/18/2006,107294.5448,107293.7984,7.0964,7.1406,7.2051
12/19/2006,107315.5566,107314.8101,7.0962,7.1404,7.2048
12/20/2006,107336.5726,107335.8259,7.0962,7.1404,7.2048
12/21/2006,107357.5927,107356.8459,7.0962,7.1404,7.2048
12/22/2006,107378.6169,107377.8699,7.0969,7.1411,7.2056
12/23/2006,107399.6452,107398.8981,N/E,N/E,N/E
12/24/2006,107420.6776,107419.9262,N/E,N/E,N/E
12/25/2006,107441.7142,107440.9544,N/E,N/E,N/E
12/26/2006,107462.7548,107461.9826,7.0997,7.1439,7.2084
12/27/2006,107483.7996,107483.0272,7.1004,7.1446,7.2091
12/28/2006,107504.8485,107504.0760,7.1011,7.1453,7.2099
12/29/2006,107525.9016,107525.1289,7.0975,7.1417,7.2062
12/30/2006,107546.9587,107546.1859,N/E,N/E,N/E
12/31/2006,107568.0200,107567.2429,N/E,N/E,N/E
01/01/2007,107589.0854,107588.2999,N/E,N/E,N/E
01/02/2007,107610.1549,107609.3569,7.0875,7.1315,7.1958
01/03/2007,107631.2286,107630.4304,7.0875,7.1315,7.1958
01/04/2007,107652.3064,107651.5080,7.0875,7.1315,7.1958
01/05/2007,107673.3883,107672.5898,7.0882,7.1323,7.1965
01/06/2007,107694.4743,107693.6757,N/E,N/E,N/E
01/07/2007,107715.5645,107714.7616,N/E,N/E,N/E
01/08/2007,107736.6588,107735.8474,7.0903,7.1344,7.1988
01/09/2007,107757.6674,107756.8559,7.0900,7.1341,7.1984
01/10/2007,107778.7101,107777.8984,7.0900,7.1341,7.1984
01/11/2007,107799.7569,107798.9450,7.0850,7.1290,7.1933
01/12/2007,107820.8078,107819.9958,7.0753,7.1192,7.1833
01/13/2007,107841.8628,107841.0506,N/E,N/E,N/E
01/14/2007,107862.9219,107862.1055,N/E,N/E,N/E
01/15/2007,107883.9852,107883.1603,7.0624,7.1061,7.1700
01/16/2007,107905.0525,107904.2275,7.0617,7.1054,7.1692
01/17/2007,107926.1240,107925.2988,7.0610,7.1047,7.1685
01/18/2007,107947.1995,107946.3742,7.0602,7.1040,7.1677
01/19/2007,107968.2792,107967.4538,7.0595,7.1032,7.1670
01/20/2007,107989.3630,107988.5374,N/E,N/E,N/E
01/21/2007,108010.4509,108009.6211,N/E,N/E,N/E
01/22/2007,108031.5430,108030.7047,7.0574,7.1010,7.1648
01/23/2007,108052.6392,108051.8007,7.0568,7.1005,7.1642
01/24/2007,108073.7394,108072.9008,7.0561,7.0997,7.1635
01/25/2007,108094.8138,108093.9750,7.0550,7.0987,7.1623
01/26/2007,108115.8923,108115.0533,7.0539,7.0976,7.1612
01/27/2007,108136.9749,108136.1357,N/E,N/E,N/E
01/28/2007,108158.0616,108157.2182,N/E,N/E,N/E
01/29/2007,108179.1524,108178.3006,7.0507,7.0943,7.1579
01/30/2007,108200.2474,108199.3954,7.0498,7.0934,7.1569
01/31/2007,108221.3464,108220.4943,7.0487,7.0923,7.1558
02/01/2007,108242.4496,108241.5973,7.0476,7.0912,7.1547
02/02/2007,108263.5569,108262.7044,7.0465,7.0901,7.1536
02/03/2007,108284.6682,108283.8156,N/E,N/E,N/E
02/04/2007,108305.7838,108304.9269,N/E,N/E,N/E
02/05/2007,108326.9034,108326.0381,N/E,N/E,N/E
02/06/2007,108348.0271,108347.1493,7.0432,7.0867,7.1501
02/07/2007,108369.1550,108368.2770,7.0428,7.0863,7.1498
02/08/2007,108390.2870,108389.4088,7.0424,7.0859,7.1494
02/09/2007,108411.4231,108410.5448,7.0421,7.0856,7.1490
02/10/2007,108432.5633,108431.6849,N/E,N/E,N/E
02/11/2007,108453.7077,108452.8249,N/E,N/E,N/E
02/12/2007,108474.8561,108473.9649,7.0410,7.0845,7.1479
02/13/2007,108496.0389,108495.1475,7.0410,7.0845,7.1479
02/14/2007,108517.2257,108516.3342,7.0410,7.0845,7.1479
02/15/2007,108538.4167,108537.5250,7.0410,7.0845,7.1479
02/16/2007,108559.6119,108558.7200,7.0410,7.0845,7.1479
